month_id,access_method_num,imei,imsi,imsi_sim2fly,subscription_identifier,start_of_month
2020-11,NULL,NULL,#NAME?,erTC8XVIa61M5JPf2jLmQcEHSvG5a+ltCMg.SZxjE5JVNMU6nUjva6vnSOO5VXEm,NULL,202011
2020-11,NULL,NULL,#NAME?,f5QQIiOfpeeOgSrT8q6cTS5Kf+WJKEKHNd9KPWJDlS++mCp3fX5wB842+AauKFDd,NULL,202011
2020-11,NULL,NULL,#NAME?,ftY0wBIgyUr+Jp1lHlKwmn8szV1FmZqdOqQZuPOCuCU+oy4Vzryo1LsA4bMTWPig,NULL,202011
2020-11,NULL,NULL,#NAME?,fuUo51+zCeWTV.W9iw6thjvAK8b2vgJtjbPhj7gmyxhuHHMQvMT8CIyFiF4XWxcy,NULL,202011
2020-11,NULL,NULL,#NAME?,g5j95jSQ0NVo2PNUrVE80oO2wp3qG5WYQNXmUGDCwQMDkoCJ5BmSSqlL9zZXkC8R,NULL,202011
2020-11,NULL,NULL,+PJmEXPZj0NupfMz+JefRFyCANG35Pxoj+dAJAAgkxtmv4nH.Zn5+4binOpgj7Le,gcP86cV7N4SinNshPWnE0kYxNNfP2B+DsUXrlf4IZET7+8lUr2KWoCfGBpYjyCHf,NULL,202011
2020-11,NULL,NULL,#NAME?,gy2AzpBqzBcc3Cg163ZV3L+CGVzrfE4AdPb9urlNLWYUS1l6tSxEtaBhkOBckJvR,NULL,202011
2020-11,NULL,NULL,#NAME?,hRvE4xhPkWsVY+CXEZRAjCxD2zaQ5WUpMUmr2evDwtTAN9gd+l0FbTC8uj45VY86,NULL,202011
2020-11,NULL,NULL,#NAME?,i.ZqQW20oCHm7TvCP4cWjwRMNdowBsSRuPmuL8auSCfeM7iWSw6t7u9IjPucZpKD,NULL,202011
2020-11,NULL,NULL,#NAME?,iJeC9FKrlW5ZhQnW+EzlslFg6xUDfG3h9hbpAcxrzNZYPlM1Vv5AtboGTRGqQgkk,NULL,202011
2020-11,NULL,NULL,#NAME?,jHSkJGt3Cl7HEY7k5nrdNfTZ3N7JMC+hhwAJhfIhqOLHxFWLuodQridRAFHHMVH+,NULL,202011
2020-11,NULL,NULL,#NAME?,k9uedCrzdZpH5EuDMuospzwfyME0nE+xFH9slHpK+Ocb7MBgZXGj+00XnGqc8+rH,NULL,202011
2020-11,NULL,NULL,#NAME?,kd6qWSG6TI9vXZ6Dw.xGJRGuhhKjvn3mo94COJkTnGfvIlV2+zifFARPfIKtZd.A,NULL,202011
2020-11,NULL,NULL,#NAME?,lWElfyqdXUTXPf0elXcxzRfVzkxwA5se8CCjVkXKsJSkBfB3m8enzpCPbTNdiBro,NULL,202011
2020-11,NULL,NULL,#NAME?,loOEr6odXJrro8NhhMUTq3C4lcWq38FG+MjgIue+2gmumc79dtT9Yb96xJ5gFo8P,NULL,202011
2020-11,NULL,NULL,+TuXKESea4H26Si.Y9EU5h6qculaolV1VeM37un4ZpYvk+4EvPO0OEn2wcWa4YsT,m+g+mbUNv2QAZyKtJk88LHQrw8lRfKF9kUS5GdpjuRgQmZlvtv1zeOQNEHZ0PQbP,NULL,202011
2020-11,NULL,NULL,#NAME?,mEAGYAKLccksiTqZTwymTlTxkZhpMOZb.AhenWvS1XGMf.qC7iuVC7sE1aSPvuxX,NULL,202011
2020-11,NULL,NULL,#NAME?,nwFZba52S5BE1KxwP3c8XsI3Sufvt6ljfb6VEKDZBd+c2DFN8O0axUB57rogHHnD,NULL,202011
2020-11,NULL,NULL,#NAME?,oSGvB2KfAIykO.W4mcS1+Dh0+VT6cRnK5kWs3w8plCR7iGoIKL7alKKttCBkxYkW,NULL,202011
2020-11,NULL,NULL,#NAME?,p2U12v6eKPM+Fg6sVsp0QVRUkN7VNo9giNkk94gM3FiguS4izTTHwaJjSAQncEog,NULL,202011
2020-11,NULL,NULL,+WG.nEZbznbF9WNgcNhuFJBmRoZp4qWz+ERd.SyY1.BcorwecCZgL03EWKA+1oC2,pI+UEpYNhWn68EWyH2Rv99M0bJ+jfc0fNjQFB58e4Qw2bt4XSWNCba.b3Y.fRl8M,NULL,202011
2020-11,NULL,NULL,+WeM1uR+31avwZqC8tnZsQvZuG9CO9x0l65reTSzTqWcnE2pt1eszxpwuaFS.5aC,pWSd+XxoGv1I9L1GxeK8qIqdlTfTgoRV..oNfnvXFTYvYG1Z+olAny9PREdw6HQE,NULL,202011
2020-11,NULL,NULL,#NAME?,pb7Xsjoyf7OVrbpjfSxFnSc4.JxN0x5CVcBtQ1l8e.FDZiUS+KysNo0PVNkKtDfR,NULL,202011
2020-11,NULL,NULL,#NAME?,pc4g64vr4eYZO3mBi4ljUCi4B2f0SbdiOyH6SQhwA+JGRRoaqM3WSOAyxxxy303O,NULL,202011
2020-11,NULL,NULL,+X3u83jwYQm0goHQceccXM759SD8aw+AGi7n+hNH.ALA1S+ql+c6p8y7AFQdeFV.,ptCqibI3b+6FHW5Qd3rZbEptplmQVpnTfUSUvH.hg.umutBs6H4zqNn.RWP1N+hJ,NULL,202011
2020-11,NULL,NULL,#NAME?,ptG5tbKU3Ct5yxi3dvA5rIP7FCQ7h2lK9YnR4qxPzlvZopfyigLzntPIA8QoOea0,NULL,202011
2020-11,NULL,NULL,+Xn9rP1CSclpzHQika9tx+c7zqVHgLPiUJ9b8N3UaQZbShc9F4mgeOZV+K+ms9fo,rcBi21faNST5xd6wIF6Cy2v9O9hpKieEf3Hausu1dfyrF8GigwWRPpR6k8VZG5YZ,NULL,202011
2020-11,NULL,NULL,+XuaSpWPMc7qBamOWsks8N+5p4qIyvuWGUm0QQm42IpEpBpcjTCzpaXBn5QuJBdl,rn2BPYJIovRusQ6kmQuQVHHtWmfsVuyQMT4xi.aiaTOz+MTC5f+1Og+CfTnMO3di,NULL,202011
2020-11,NULL,NULL,#NAME?,tfZIgVc8pLcz+aUfdJCE6O+qmK.NTcYbDUwuTptnudbmU8gAb1KAgkG47aflkV8B,NULL,202011
2020-11,NULL,NULL,#NAME?,tpKlTsNk2wZOuwqFafo3USyzPnQb5az+rCU2MlUlNZrlZfbzx9Im2bVc2Cf7y79h,NULL,202011
2020-11,NULL,NULL,#NAME?,vtUIkOk8jqHhgWi9R9Yrn2l508vZVtv46oE+IkI2R4zYUZIcvb2m+HJSVaglx+PM,NULL,202011
2020-11,NULL,NULL,#NAME?,wEIJkT.BTMacBDTgUrMZ9L049GetPxEMqRx1O8P.oz+QFPRINgg.pQDFDKm9M1sX,NULL,202011
2020-11,NULL,NULL,#NAME?,xeCX2CnfQ+A6aGQNb57iPipB4qiLgmzPG1Usx+fH3gFksuz8CSlYDWcXNY1IrorG,NULL,202011
